,player_name,PIE,salary_2025_26,value_ratio
334,Jeremiah Robinson-Earl,0.087,131970.0,0.6592407365310298
333,Jeremiah Robinson-Earl,0.087,131970.0,0.6592407365310298
345,Jeremiah Robinson-Earl,0.087,131970.0,0.6592407365310298
327,Jeremiah Robinson-Earl,0.087,131970.0,0.6592407365310298
344,Charles Bassey,0.113,263940.0,0.42812760475865724
342,Charles Bassey,0.113,263940.0,0.42812760475865724
341,Charles Bassey,0.113,263940.0,0.42812760475865724
346,Dalano Banton,0.089,263940.0,0.3371978479957566
339,Killian Hayes,0.085,263940.0,0.3220428885352732
340,Killian Hayes,0.085,263940.0,0.3220428885352732
